index,sepal.length,sepal.width,petal.length,petal.width,variety
4,5.0,3.6,1.4,0.2,0
66,5.6,3.0,4.5,1.5,1
127,6.1,3.0,4.9,1.8,2
81,5.5,2.4,3.7,1.0,1
138,6.0,3.0,4.8,1.8,2
117,7.7,3.8,6.7,2.2,2
124,6.7,3.3,5.7,2.1,2
69,5.6,2.5,3.9,1.1,1
120,6.9,3.2,5.7,2.3,2
116,6.5,3.0,5.5,1.8,2
62,6.0,2.2,4.0,1.0,1
136,6.3,3.4,5.6,2.4,2
42,4.4,3.2,1.3,0.2,0
142,5.8,2.7,5.1,1.9,2
143,6.8,3.2,5.9,2.3,2
5,5.4,3.9,1.7,0.4,0
110,6.5,3.2,5.1,2.0,2
55,5.7,2.8,4.5,1.3,1
147,6.5,3.0,5.2,2.0,2
83,6.0,2.7,5.1,1.6,1
84,5.4,3.0,4.5,1.5,1
77,6.7,3.0,5.0,1.7,1
99,5.7,2.8,4.1,1.3,1
8,4.4,2.9,1.4,0.2,0
32,5.2,4.1,1.5,0.1,0
79,5.7,2.6,3.5,1.0,1
118,7.7,2.6,6.9,2.3,2
3,4.6,3.1,1.5,0.2,0
95,5.7,3.0,4.2,1.2,1
64,5.6,2.9,3.6,1.3,1
93,5.0,2.3,3.3,1.0,1
56,6.3,3.3,4.7,1.6,1
44,5.1,3.8,1.9,0.4,0
11,4.8,3.4,1.6,0.2,0
104,6.5,3.0,5.8,2.2,2
106,4.9,2.5,4.5,1.7,2
101,5.8,2.7,5.1,1.9,2
34,4.9,3.1,1.5,0.2,0
59,5.2,2.7,3.9,1.4,1
111,6.4,2.7,5.3,1.9,2
16,5.4,3.9,1.3,0.4,0
139,6.9,3.1,5.4,2.1,2
129,7.2,3.0,5.8,1.6,2
33,5.5,4.2,1.4,0.2,0
41,4.5,2.3,1.3,0.3,0
65,6.7,3.1,4.4,1.4,1
76,6.8,2.8,4.8,1.4,1
13,4.3,3.0,1.1,0.1,0
43,5.0,3.5,1.6,0.6,0
87,6.3,2.3,4.4,1.3,1
28,5.2,3.4,1.4,0.2,0
58,6.6,2.9,4.6,1.3,1
49,5.0,3.3,1.4,0.2,0
46,5.1,3.8,1.6,0.2,0
71,6.1,2.8,4.0,1.3,1
67,5.8,2.7,4.1,1.0,1
88,5.6,3.0,4.1,1.3,1
9,4.9,3.1,1.5,0.1,0
102,7.1,3.0,5.9,2.1,2
45,4.8,3.0,1.4,0.3,0
114,5.8,2.8,5.1,2.4,2
146,6.3,2.5,5.0,1.9,2
24,4.8,3.4,1.9,0.2,0
85,6.0,3.4,4.5,1.6,1
35,5.0,3.2,1.2,0.2,0
60,5.0,2.0,3.5,1.0,1
141,6.9,3.1,5.1,2.3,2
12,4.8,3.0,1.4,0.1,0
98,5.1,2.5,3.0,1.1,1
29,4.7,3.2,1.6,0.2,0
38,4.4,3.0,1.3,0.2,0
51,6.4,3.2,4.5,1.5,1
30,4.8,3.1,1.6,0.2,0
108,6.7,2.5,5.8,1.8,2
126,6.2,2.8,4.8,1.8,2
14,5.8,4.0,1.2,0.2,0
68,6.2,2.2,4.5,1.5,1
78,6.0,2.9,4.5,1.5,1
19,5.1,3.8,1.5,0.3,0
145,6.7,3.0,5.2,2.3,2
36,5.5,3.5,1.3,0.2,0
26,5.0,3.4,1.6,0.4,0
137,6.4,3.1,5.5,1.8,2
17,5.1,3.5,1.4,0.3,0
113,5.7,2.5,5.0,2.0,2
72,6.3,2.5,4.9,1.5,1
7,5.0,3.4,1.5,0.2,0
121,5.6,2.8,4.9,2.0,2
53,5.5,2.3,4.0,1.3,1
22,4.6,3.6,1.0,0.2,0
50,7.0,3.2,4.7,1.4,1
132,6.4,2.8,5.6,2.2,2
74,6.4,2.9,4.3,1.3,1
63,6.1,2.9,4.7,1.4,1
40,5.0,3.5,1.3,0.3,0
97,6.2,2.9,4.3,1.3,1
91,6.1,3.0,4.6,1.4,1
86,6.7,3.1,4.7,1.5,1
96,5.7,2.9,4.2,1.3,1
21,5.1,3.7,1.5,0.4,0
10,5.4,3.7,1.5,0.2,0
149,5.9,3.0,5.1,1.8,2
105,7.6,3.0,6.6,2.1,2
89,5.5,2.5,4.0,1.3,1
134,6.1,2.6,5.6,1.4,2
135,7.7,3.0,6.1,2.3,2
90,5.5,2.6,4.4,1.2,1
57,4.9,2.4,3.3,1.0,1
112,6.8,3.0,5.5,2.1,2
92,5.8,2.6,4.0,1.2,1
37,4.9,3.6,1.4,0.1,0
15,5.7,4.4,1.5,0.4,0
107,7.3,2.9,6.3,1.8,2
94,5.6,2.7,4.2,1.3,1
0,5.1,3.5,1.4,0.2,0
47,4.6,3.2,1.4,0.2,0
18,5.7,3.8,1.7,0.3,0
27,5.2,3.5,1.5,0.2,0
20,5.4,3.4,1.7,0.2,0
73,6.1,2.8,4.7,1.2,1
